900,,,792,,,611,,,471,,,380,,,280,,,177,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,,,,,,,,,,,,,,,,,,,,,,0.0262,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2434057,5.070951,0.0688,0.3491636,5.075053,0.09579999,0.3281955,3.42584,0.0517,0.1037142,2.006077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2423915,5.070951,0.06799999,0.3451036,5.075053,0.09549999,0.3291264,3.44635,0.0514,0.1037449,2.018382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2438809,5.091461,0.0675,0.3420123,5.066849,0.0956,0.3294711,3.44635,0.0513,0.1039639,2.026586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2439127,5.070951,0.0657,0.332892,5.066849,0.0954,0.330347,3.462757,0.0516,0.1045718,2.026586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.242815,5.058646,0.0647,0.3280905,5.070951,0.09509999,0.3300884,3.470961,0.0513,0.1043847,2.03479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2436025,5.075053,0.0637,0.322497,5.062747,0.0949,0.3293942,3.470961,0.0511,0.1046066,2.047095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2437994,5.079155,0.0632,0.3217803,5.091461,0.0932,0.3246405,3.483267,0.0508,0.1046176,2.059401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.24208,5.075053,0.0609,0.3100699,5.091461,0.09389999,0.3270787,3.483267,0.05099999,0.105657,2.071707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.24208,5.075053,0.0603,0.306273,5.079155,0.0937,0.3279195,3.499674,0.0508,0.1044092,2.055299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2425056,5.062747,0.0593,0.2999777,5.058646,0.09379999,0.3301932,3.520184,0.05039999,0.1046207,2.075809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0475,0.2422341,5.099665,0.058,0.2943531,5.075053,0.09289999,0.3274061,3.524286,0.0506,0.1046208,2.067605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2452939,5.099665,0.0571,0.2907224,5.091461,0.09219999,0.3260737,3.536591,0.0503,0.1044132,2.075809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2450965,5.095562,0.0556,0.2828572,5.087359,0.0928,0.3320022,3.57761,0.0499,0.1031735,2.067605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.244587,5.095562,0.0542,0.2759572,5.091461,0.09239999,0.3294341,3.565304,0.05039999,0.1046207,2.075809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.0529,0.2691213,5.087359,0.0925,0.332826,3.598119,0.0503,0.1048258,2.084012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2434057,5.070951,0.0517,0.2625923,5.079155,0.09169999,0.3314521,3.614527,0.05,0.1044057,2.088114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.0495,0.2510121,5.070951,0.0916,0.3295877,3.598119,0.0499,0.1046063,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0482,0.2448153,5.079155,0.0481,0.2443073,5.079155,0.09139999,0.3314925,3.626832,0.05,0.1044057,2.088114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2427836,5.079155,0.04789999,0.2438809,5.091461,0.09110001,0.3318992,3.64324,0.05,0.1046108,2.092216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.2422757,5.079155,0.04789999,0.2438809,5.091461,0.0908,0.3296888,3.630934,0.0496,0.1039774,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0476,0.2425488,5.095562,0.0478,0.2427836,5.079155,0.0903,0.3289845,3.64324,0.04969999,0.104187,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2448992,5.091461,0.04789999,0.243095,5.075053,0.09039999,0.3312029,3.663749,0.049,0.1027196,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.04789999,0.243095,5.075053,0.08990001,0.3323212,3.696565,0.0493,0.1035633,2.100676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2441932,5.087359,0.048,0.2447839,5.099665,0.08929998,0.3282717,3.676055,0.0493,0.1033485,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2427836,5.079155,0.0481,0.2443073,5.079155,0.0898,0.3319515,3.696565,0.049,0.1027196,2.096318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.2422757,5.079155,0.04789999,0.2432915,5.079155,0.0891,0.3297293,3.700666,0.0484,0.1018713,2.104778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.0481,0.2441101,5.075053,0.0891,0.3315568,3.721176,0.049,0.1031341,2.104778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2427836,5.079155,0.04789999,0.2432915,5.079155,0.0887,0.3293406,3.712972,0.0488,0.102513,2.100676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2431758,5.087359,0.0481,0.2448992,5.091461,0.08809999,0.3310879,3.758093,0.0486,0.1022922,2.104778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2436025,5.075053,0.0478,0.2435679,5.095562,0.08839999,0.3296771,3.72938,0.0484,0.1034595,2.137593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2441932,5.087359,0.0475,0.2424289,5.103766,0.08719999,0.3280633,3.762195,0.0483,0.102057,2.112982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2434057,5.070951,0.0478,0.2427836,5.079155,0.0878,0.3321214,3.782704,0.0477,0.1009849,2.117084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
